name;gender;nb_turn;total_length
Yakech_BORTAIROU;male;9;32.02199999999999
Robert_KUDELKA;male;50;121.28199999999993
unk_1099;NA;1;12.940000000000055
Gregoire_PELPEL;male;15;110.61700000000019
unk_1119;NA;4;7.753000000000043
Philippe_PERILHOU;male;18;54.76599999999996
Lionel_TONINI;male;3;12.954999999999927
Marie-Therese_GEFFROY;female;15;59.91599999999994
Bernard_BOUISSIET;male;3;16.581999999999994
Celine_BRACQ;female;31;143.90300000000002
Pierre_BANC;male;30;101.15300000000002
unk_1045;NA;4;3.831000000000131
unk_466;NA;8;20.246000000000095
Francois_LONCLE;male;12;39.411
Philippe_VANDEL;male;10;29.416999999999916
unk_1162;NA;2;13.723999999999933
Frederic_LAGACHE;male;22;159.30500000000075
unk_776;NA;58;196.41200000000006
Claude_ALLEGRE;male;12;39.06099999999998
unk_561;NA;5;7.786000000000229
Pierre_LAURENT;male;89;429.3069999999999
Jerome_SAVARY;male;12;50.721000000000004
Herve_VIEILLARD_BARON;male;25;111.09400000000005
unk_567;NA;1;0.7980000000000018
Louis_ALIOT;male;3;19.392999999999915
Robert_GUEDIGUIAN;male;16;58.902999999999906
Danielle_SCHWEISGUTH;female;30;222.79799999999977
Jean-Louis_BIANCO;male;3;15.492999999999995
Chantal_JOUANNO;female;7;63.67999999999961
Aymeric_BARRAULT;male;31;214.0500000000012
Christophe_DELACROIX;male;41;141.46800000000007
Mathieu_LAURENT;male;12;37.57800000000043
unk_638;NA;3;4.449999999999832
Gerard_ZENONI;male;124;357.2689999999998
Adrien_BAUDU;male;3;25.63299999999981
unk_853;NA;5;19.008999999999986
Olivier_PASTRE;male;65;324.09299999999956
Florent_VACHERET;male;4;32.101
Jean-Pierre_JOUYET;male;3;17.37099999999998
Laurence_PIEAU;female;19;155.60900000000038
Jean-Paul_OLLIVIER;male;5;26.203000000000003
Jean_FERNANDEZ;male;7;25.626999999999953
Ticky_HOLGADO;male;10;41.19200000000001
unk_313;NA;27;112.27300000000037
Jean_ROATTA;male;2;15.571999999999889
Jean-Pierre_DECOOL;male;18;96.60299999999995
Paul_BIONDI;male;13;42.79300000000035
Francoise_FRESSOZ;female;2;1.7139999999999418
unk_1124;NA;2;8.951999999999998
Rupert_COLLEVILLE;male;10;50.89300000000003
Gilane_BARRET;male;39;380.16399999999965
Pierre_LEQUILLER;male;39;205.95099999999985
Jean-Pierre_LAVOIGNAT;male;25;74.80000000000018
Jean-Jacques_BOURDIN;male;4;2.3159999999999172
Bernard_JULIEN;male;13;47.298
Cecile_ASPE;female;77;261.6729999999998
Patrick_MAISONNEUVE;male;25;193.50700000000052
Philippe_CERGEL;male;69;418.99699999999996
unk_471;NA;6;10.08199999999988
Etienne_PINTE;male;27;85.08099999999968
unk_558;NA;1;3.8840000000000146
unk_1063;NA;4;18.059999999999945
Francois_PUPPONI;male;110;340.147999999999
Macha_MAKEIEFF;female;42;162.32999999999993
Michel_TURPIN;male;5;20.717999999999847
Claire_FLEURY;female;9;88.69600000000003
Edward_JAY;male;34;277.00900000000024
Bernard_THOMASSON;male;241;815.7589999999999
unk_948;NA;3;14.567999999999984
unk_722;NA;1;3.4989999999997963
Olivier_FLEUROT;male;23;89.64800000000014
Christian_ECKERT;male;103;719.2480000000012
Emmanuel_D_ABZAC;male;16;71.15599999999998
Bakhtiar_AMIN;male;14;60.24399999999969
Cesar_BALDACCINI;male;10;46.55500000000001
Gerard_BIARD;male;35;318.06600000000003
Patrick_GRIVAZ;male;20;81.99799999999993
Maryse_MECASSI;female;17;50.488000000000056
unk_1164;NA;4;20.34100000000035
Maude_BAYEU;female;112;423.24599999999987
Rodolphe_MASSE;male;2;10.819999999999993
Raymond_DOMENECH;male;9;38.41500000000008
Marie_CASADEBAIG;female;58;246.00400000000002
Frederic_OUDEA;male;1;12.413999999999987
Francois_ZANINI;male;30;98.86200000000008
unk_933;NA;4;17.536
Corinne_LEPAGE;female;29;183.60699999999952
unk_835;NA;3;16.128000000000156
Jean-Christophe_BUISSOU;male;9;23.55200000000002
Jean-Michel_FRETINY;male;10;40.20999999999998
unk_664;NA;1;2.719000000000051
Paul_SALEN;male;17;142.12799999999993
unk_1048;NA;1;4.966000000000122
Pierrick_TAISNE;male;8;64.41399999999999
unk_707;NA;7;33.26299999999992
Henrik_UTERWEDDE;male;23;99.8599999999999
unk_700;NA;8;30.0920000000001
Olivier_KAPO;male;4;17.096000000000004
unk_1084;NA;2;2.984000000000151
Hubert_HUERTAS;male;11;39.10400000000004
Solange_MAULINI;female;14;47.84100000000012
Emmanuel_LANGLOIS;male;119;427.2000000000001
unk_483;NA;5;23.720000000000255
unk_585;NA;3;8.015000000000441
Bernard_TAPIE;male;11;44.9129999999999
unk_747;NA;19;63.912999999999556
Christian_VANNESTE;male;4;49.35199999999986
unk_839;NA;1;0.9939999999999145
Bernard_VOUCHET;male;9;32.68900000000002
Eric_MEYER;male;44;112.11999999999989
Pascal_DERVIEUX;male;155;568.21
unk_723;NA;1;2.0579999999999927
Luis_DE_GUINDOS;male;1;1.1619999999998072
Emmanuel_BUTSTRAEN;male;6;28.791000000000167
unk_509;NA;2;2.6549999999997453
unk_581;NA;2;2.5440000000000964
unk_673;NA;2;6.056999999999789
unk_692;NA;4;17.49099999999953
Denis_TILLINAC;male;6;16.063000000000102
Thierry_MARIANI;male;9;59.879999999999995
unk_615;NA;3;3.5309999999997217
Louis_BURTON;male;4;28.50799999999981
Benoit_COLOMBAT;male;34;116.3789999999999
unk_974;NA;1;1.7989999999999782
Pierre-Louis_CASTELLI;male;20;59.210000000000036
unk_784;NA;3;6.3960000000001855
Jean-Claude_GUIBAL;male;12;111.88899999999973
Claire_QUIDET;female;41;231.18899999999894
unk_810;NA;8;43.990999999999985
unk_462;NA;3;6.809999999999491
unk_1095;NA;4;13.23599999999999
Claire_STAROZINSKI;female;1;13.491999999999734
Alexandra_BENSAID;female;1;3.298999999999978
Dominique_CHAUVELIER;male;16;62.673
Armand_GIDE;male;7;26.325000000000045
Frederic_DONNEDIEU_DE_VABRES;male;27;182.18699999999944
Aziz_SENNI;male;2;16.687999999999988
Jean-Louis_TRIAUD;male;5;18.91999999999996
Pascal_SCHMITT;male;56;234.59500000000025
Pascal_BRINDEAU;male;17;103.92999999999984
unk_914;NA;1;5.634999999999991
Lionel_OVADIA;male;7;25.62000000000012
unk_710;NA;4;9.186999999999898
Stephane_LE_FOLL;male;3;21.611999999999625
Valerie_BERANGER;female;24;217.4799999999999
unk_488;NA;3;4.466000000000122
unk_712;NA;6;9.782999999999902
Jeremy_BROSSARD;male;17;159.14999999999992
unk_643;NA;1;1.3310000000000004
Bernadette_CHIRAC;female;4;6.670000000000073
unk_13;NA;1;8.860000000000014
unk_597;NA;3;5.366999999999962
Daniel_ROSENBLUM;male;51;130.52100000000019
Yann_WEHRLING;male;35;348.8560000000002
Sandrine_MAZETIER;female;35;271.56500000000005
unk_1155;NA;15;75.81600000000002
Gerard_COURCHELLE;male;692;3103.4660000000003
Haida_THOUIRI;female;51;214.95199999999977
unk_897;NA;15;48.30899999999974
Robert_HUE;male;5;23.752999999999986
Herve_FERON;male;17;106.60699999999997
unk_964;NA;1;2.1709999999999354
Francoise_DE_PANAFIEU;female;204;731.1530000000001
Ania_VOGEL;female;32;138.28099999999995
Stephane_IGLESIS;male;53;190.63000000000002
Jean-Yves_MANO;male;25;73.1
Catherine_VAUTRIN;female;70;673.6630000000001
Mireille_LEMARESQUIER;female;210;755.6390000000001
Richard_MALLIE;male;4;18.286000000000058
unk_714;NA;2;1.3209999999999127
unk_469;NA;1;4.967999999999847
Laurence_TUBIANA;female;8;58.36500000000001
Michel_ROUSSIN;male;2;4.109000000000151
Francis_LEFEBVRE;male;21;71.22800000000007
Jennifer_GALIN;female;5;22.254000000000133
Bernard_DEBRE;male;44;234.3189999999998
Christelle_CAILLAUD;female;7;26.641999999999825
Philippe_RABUT;male;210;586.9199999999992
unk_1123;NA;7;19.976000000000113
Anne_COLDEFY;female;16;63.55500000000001
Laetitia_GAYET;female;15;43.95099999999991
Pierre_LELLOUCHE;male;43;163.78199999999975
unk_667;NA;2;6.983999999999924
Francis_HILLMEYER;male;46;189.25600000000009
unk_1076;NA;1;5.3270000000002256
Jamie_SHAE;male;10;50.00299999999993
Germain_ANDRIEUX;male;87;636.1749999999997
Jean-Michel_APATHIE;male;168;564.9260000000003
Olivier_DUHAMEL;male;65;186.02600000000007
unk_1145;NA;18;52.33300000000031
Serena_MOSSEY;female;5;14.88000000000011
Christophe_CHAMBON;male;49;252.67299999999977
Michel_DARRE;male;10;51.601
Jean-Michel_BAYLET;male;1;6.787000000000035
Michel_GARCIA;male;11;58.54000000000008
unk_804;NA;1;0.6889999999998508
unk_1065;NA;2;13.593000000000302
unk_590;NA;1;18.531000000000176
unk_528;NA;3;14.807999999999993
Petr_JANYSKA;male;139;731.5529999999999
unk_1120;NA;2;21.861999999999966
Nicole_GUILLARD;female;17;54.85399999999993
Antoine_GLASER;male;41;304.7710000000002
unk_908;NA;2;10.642000000000053
unk_892;NA;6;20.519999999999982
unk_458;NA;1;2.800000000000182
Olivier_DUSSOPT;male;44;241.87699999999984
Maurice_VIOLETON;male;12;41.697000000000116
unk_455;NA;3;9.35599999999988
Roland_SICARD;male;1;0.90199999999993
Jean-Luc_CRETIER;male;10;37.87599999999975
Charles_HOAREAU;male;18;59.64199999999997
Christophe_DECHAVANNE;male;2;14.380999999999858
Francois_ROUDIER;male;19;203.4699999999998
Chloe_BUFFARD;female;87;768.705
Xavier_ROUSSELOU;male;37;324.7610000000009
Nicolas_HENIN;male;14;46.49799999999999
Jean-Marie_SCHLERET;male;15;62.79300000000012
unk_1093;NA;3;14.389999999999873
Jacques_CHIRAC;male;52;302.59299999999985
unk_936;NA;6;16.9050000000002
Brahim_ASLOUM;male;32;122.00900000000001
Christophe_VAREILLE;male;2;25.47399999999999
Jan_TOMBINSKI;male;7;25.12700000000001
Marjorie_ROULMANN;female;11;38.809999999999945
unk_533;NA;3;6.942000000000007
