id_turn;start_time;end_time;id_speaker;gender;id_episode;id_show;id_corpus;id_speaker_class
1;1.641;11.702;1;male;1;19;1;1
2;11.702;131.524;2;female;1;19;1;1
3;131.524;138.074;1;male;1;19;1;1
4;138.074;180.552;2;female;1;19;1;1
5;182.263;203.845;2;female;1;19;1;1
6;203.845;253.352;3;male;1;19;1;4
7;253.352;297.365;2;female;1;19;1;1
8;297.365;305.101;1;male;1;19;1;1
9;305.101;330.196;2;female;1;19;1;1
10;330.196;381.44;4;male;1;19;1;1
11;381.44;410.696;2;female;1;19;1;1
12;412.815;424.739;2;female;1;19;1;1
13;424.739;425.696;5;female;1;19;1;1
14;425.696;426.122;6;male;1;19;1;1
15;426.122;428.417;5;female;1;19;1;1
16;428.417;452.683;6;male;1;19;1;1
17;452.683;458.033;5;female;1;19;1;1
18;458.033;490.722;6;male;1;19;1;1
19;490.722;494.609;5;female;1;19;1;1
20;494.609;504.822;2;female;1;19;1;1
21;504.822;506.95;7;male;1;19;1;1
22;516.966;541.398;2;female;1;19;1;1
23;541.398;555.102;1;male;1;19;1;1
24;616.187;619.014;8;female;1;19;1;1
25;626.148;628.412;8;female;1;19;1;1
26;629.409;669.858;1;male;1;19;1;1
27;669.858;753.765;9;male;1;19;1;1
28;753.765;767.487;7;male;1;19;1;1
29;767.487;817.033;9;male;1;19;1;1
30;817.033;840.651;1;male;1;19;1;1
31;931.369;934.257;8;female;1;19;1;1
32;934.257;937.449;1;male;1;19;1;1
33;937.449;1013.506;2;female;1;19;1;1
34;1013.506;1060.86;1;male;1;19;1;1
35;1067.487;1086.439;1;male;1;19;1;1
36;1086.439;1112.76;5;female;1;19;1;1
37;1112.76;1161.196;10;male;1;19;1;1
38;1165.178;1198.766;10;male;1;19;1;1
39;1198.766;1205.848;2;female;1;19;1;1
40;1205.848;1253.689;11;female;1;19;1;1
41;1253.689;1264.981;2;female;1;19;1;1
42;1288.204;1290.386;1;male;1;19;1;1
43;1291.585;1296.898;1;male;1;19;1;1
44;1296.898;1338.065;12;male;1;19;1;1
45;1338.065;1340.867;1;male;1;19;1;1
46;1340.867;1377.053;12;male;1;19;1;1
47;1377.053;1379.272;1;male;1;19;1;1
48;1379.272;1379.728;12;male;1;19;1;1
49;1380.974;1390.348;1;male;1;19;1;1
50;1419.621;1422.447;8;female;1;19;1;1
51;1424.506;1461.324;1;male;1;19;1;1
52;1462.836;1475.541;1;male;1;19;1;1
53;1475.541;1518.163;13;male;1;19;1;1
54;1518.163;1526.415;1;male;1;19;1;1
55;1526.415;1565.858;13;male;1;19;1;1
56;1565.858;1566.969;1;male;1;19;1;1
57;1566.969;1571.648;13;male;1;19;1;1
58;1571.648;1584.696;1;male;1;19;1;1
59;1584.696;1620.086;13;male;1;19;1;1
60;1620.086;1633.187;1;male;1;19;1;1
61;1633.187;1661.546;13;male;1;19;1;1
62;1661.546;1678.207;1;male;1;19;1;1
63;1678.207;1678.86;13;male;1;19;1;1
64;1678.86;1692.888;1;male;1;19;1;1
65;1694.104;1694.545;13;male;1;19;1;1
66;1728.481;1788.966;1;male;1;19;1;1
67;1790.896;1793.145;1;male;1;19;1;1
68;1795.273;1803.911;1;male;1;19;1;1
