id_speaker;gender;ester1;ester2;etape;repere;all
0;NA;735;371;419;4610;6135
1;male;49;NA;NA;NA;49
2;female;12;NA;NA;NA;12
3;male;1;NA;105;NA;106
4;male;2;NA;NA;NA;2
5;female;5;NA;NA;NA;5
6;male;3;NA;NA;NA;3
7;male;2;NA;NA;8;10
8;female;9;NA;NA;NA;9
9;male;2;NA;NA;NA;2
10;male;2;NA;NA;NA;2
11;female;1;NA;NA;NA;1
12;male;3;NA;NA;NA;3
13;male;7;NA;NA;NA;7
14;male;8;NA;NA;NA;8
15;female;2;NA;NA;NA;2
16;female;1;NA;NA;NA;1
17;male;1;NA;NA;NA;1
18;male;1;NA;NA;NA;1
19;male;2;NA;NA;NA;2
20;female;4;NA;NA;NA;4
21;male;3;4;NA;NA;7
22;male;10;NA;NA;NA;10
23;male;1;NA;NA;NA;1
24;male;2;NA;NA;NA;2
25;male;3;NA;NA;NA;3
26;male;5;NA;NA;NA;5
27;male;11;NA;NA;NA;11
28;male;2;NA;NA;NA;2
29;male;9;NA;NA;NA;9
30;male;5;NA;NA;NA;5
31;female;4;3;NA;NA;7
32;male;1;NA;NA;NA;1
33;male;2;NA;NA;NA;2
34;male;1;NA;NA;NA;1
35;female;1;NA;NA;NA;1
36;female;4;NA;NA;NA;4
37;male;3;NA;NA;NA;3
38;male;4;NA;NA;NA;4
39;male;20;NA;NA;1;21
40;male;2;NA;NA;NA;2
41;male;46;NA;NA;NA;46
42;male;1;NA;NA;NA;1
43;male;8;NA;NA;NA;8
44;male;349;NA;NA;NA;349
45;male;140;59;NA;NA;199
46;female;2;NA;NA;NA;2
47;female;10;NA;NA;NA;10
48;female;1;NA;NA;NA;1
49;male;42;2;NA;NA;44
50;female;7;NA;NA;NA;7
51;male;16;25;NA;NA;41
52;male;1;NA;NA;NA;1
53;male;25;NA;NA;NA;25
54;male;1;NA;NA;NA;1
55;male;23;NA;NA;NA;23
56;female;2;NA;NA;NA;2
57;male;25;NA;NA;20;45
58;female;1;NA;NA;NA;1
59;male;90;1;NA;NA;91
60;male;119;NA;NA;NA;119
61;male;28;NA;NA;NA;28
62;male;1;NA;NA;NA;1
63;female;2;NA;NA;NA;2
64;male;2;NA;NA;NA;2
65;male;2;NA;NA;NA;2
66;male;1;NA;NA;NA;1
67;male;87;NA;NA;NA;87
68;male;10;NA;NA;NA;10
69;male;9;NA;NA;NA;9
70;female;1;NA;NA;NA;1
71;female;2;NA;NA;NA;2
72;male;1;NA;NA;NA;1
73;male;1;NA;NA;NA;1
74;female;3;NA;NA;NA;3
75;male;4;NA;NA;NA;4
76;female;1;NA;NA;NA;1
77;male;4;NA;NA;NA;4
78;male;2;NA;NA;NA;2
79;female;1;NA;NA;NA;1
80;male;2;NA;NA;NA;2
81;female;1;NA;NA;NA;1
82;male;15;NA;NA;NA;15
83;male;5;NA;NA;NA;5
84;male;12;NA;NA;NA;12
85;female;3;NA;NA;NA;3
86;male;1;NA;NA;NA;1
87;male;1;NA;NA;NA;1
88;female;16;NA;NA;NA;16
89;male;318;NA;NA;NA;318
90;female;1;NA;NA;NA;1
91;male;2;NA;NA;NA;2
92;male;2;NA;NA;NA;2
93;female;1;2;NA;NA;3
94;male;6;NA;NA;54;60
95;male;6;NA;NA;NA;6
96;female;26;NA;NA;NA;26
97;male;5;8;NA;NA;13
98;female;1;NA;NA;NA;1
99;female;1;NA;NA;NA;1
100;female;1;NA;NA;NA;1
101;female;14;NA;NA;NA;14
102;male;5;NA;NA;NA;5
103;female;6;NA;NA;NA;6
104;male;1;NA;NA;NA;1
105;female;3;NA;NA;NA;3
106;male;1;NA;NA;NA;1
107;female;12;NA;NA;NA;12
108;male;13;NA;NA;NA;13
109;male;25;NA;NA;NA;25
110;female;4;NA;NA;NA;4
111;male;9;NA;NA;NA;9
112;male;11;NA;NA;NA;11
113;female;1;NA;NA;NA;1
114;female;7;NA;NA;NA;7
115;female;1;NA;NA;NA;1
116;female;2;NA;NA;NA;2
117;female;2;NA;NA;NA;2
118;female;1;NA;NA;NA;1
119;male;6;NA;NA;NA;6
120;male;1;NA;NA;NA;1
121;male;1;NA;NA;NA;1
122;female;2;NA;NA;NA;2
123;female;4;NA;NA;NA;4
124;male;1;NA;NA;NA;1
125;male;1;NA;NA;NA;1
126;male;1;NA;NA;NA;1
127;female;2;NA;NA;NA;2
128;male;8;NA;NA;NA;8
129;male;6;NA;NA;NA;6
130;female;1;NA;NA;NA;1
131;male;22;NA;NA;NA;22
132;female;13;NA;NA;NA;13
133;male;2;NA;NA;NA;2
134;female;1;NA;NA;NA;1
135;male;1;NA;NA;NA;1
136;female;2;NA;NA;NA;2
137;female;1;NA;NA;NA;1
138;male;1;NA;NA;NA;1
139;male;1;NA;NA;NA;1
140;female;1;NA;NA;NA;1
141;female;11;NA;NA;NA;11
142;male;1;NA;NA;NA;1
143;female;2;NA;NA;NA;2
144;male;3;NA;NA;NA;3
145;male;1;NA;NA;NA;1
146;female;2;NA;NA;NA;2
147;male;2;NA;NA;NA;2
148;female;1;NA;NA;NA;1
149;male;6;NA;NA;NA;6
150;male;3;NA;NA;NA;3
151;female;1;NA;NA;NA;1
152;male;26;NA;NA;NA;26
153;female;1;NA;NA;NA;1
154;female;2;NA;NA;NA;2
155;male;2;NA;NA;NA;2
156;male;2;NA;NA;NA;2
157;male;18;NA;NA;NA;18
158;female;1;NA;NA;NA;1
159;male;20;NA;NA;NA;20
160;male;62;NA;NA;NA;62
161;male;3;3;NA;NA;6
162;male;1;NA;NA;NA;1
163;male;1;NA;NA;NA;1
164;female;4;NA;NA;NA;4
165;female;3;NA;NA;NA;3
166;male;3;NA;NA;NA;3
167;female;2;NA;NA;NA;2
168;female;4;NA;NA;NA;4
169;male;1;NA;NA;NA;1
170;male;2;NA;NA;NA;2
171;female;2;NA;NA;NA;2
172;male;1;NA;NA;NA;1
173;female;7;NA;NA;NA;7
174;male;1;NA;NA;NA;1
175;male;2;NA;NA;NA;2
176;male;2;NA;NA;NA;2
177;male;1;NA;NA;NA;1
178;male;2;NA;NA;NA;2
179;female;2;NA;NA;NA;2
180;female;2;NA;NA;NA;2
181;male;4;NA;NA;NA;4
182;male;1;NA;NA;NA;1
183;male;8;NA;NA;NA;8
184;female;2;NA;NA;NA;2
185;male;1;NA;NA;NA;1
186;female;2;NA;NA;NA;2
187;female;3;NA;NA;NA;3
188;female;2;NA;NA;NA;2
189;male;7;NA;1;NA;8
190;male;1;NA;NA;NA;1
191;female;1;NA;NA;NA;1
192;male;3;NA;NA;NA;3
193;male;41;NA;NA;NA;41
194;male;1;NA;NA;NA;1
195;female;4;NA;NA;NA;4
196;male;21;2;NA;NA;23
197;female;1;NA;NA;NA;1
198;male;14;NA;NA;NA;14
199;female;50;1;NA;NA;51
200;NA;1;NA;NA;NA;1
201;male;41;NA;NA;NA;41
202;male;3;NA;NA;NA;3
203;male;1;NA;NA;NA;1
204;female;4;NA;NA;NA;4
205;male;1;NA;NA;NA;1
206;male;1;NA;NA;NA;1
207;female;2;NA;NA;NA;2
208;female;7;1;NA;NA;8
209;male;1;NA;NA;NA;1
210;female;2;NA;NA;NA;2
211;male;1;NA;NA;NA;1
212;female;42;NA;NA;NA;42
213;male;5;NA;NA;NA;5
214;male;13;NA;NA;NA;13
215;male;2;NA;NA;NA;2
216;male;6;NA;NA;NA;6
217;male;4;NA;NA;NA;4
218;male;3;NA;NA;NA;3
219;male;3;NA;NA;NA;3
220;male;6;NA;NA;NA;6
221;male;21;3;NA;NA;24
222;female;6;NA;NA;NA;6
223;male;1;NA;NA;NA;1
224;male;1;NA;NA;NA;1
225;female;15;4;NA;NA;19
226;male;5;NA;NA;NA;5
227;male;6;NA;NA;NA;6
228;male;1;NA;NA;NA;1
229;female;4;1;NA;NA;5
230;male;3;NA;NA;NA;3
231;female;2;NA;NA;NA;2
232;male;2;NA;NA;NA;2
233;male;3;NA;NA;NA;3
234;male;1;NA;NA;NA;1
235;female;2;NA;NA;NA;2
236;male;30;NA;NA;NA;30
237;male;1;NA;NA;NA;1
238;male;1;NA;NA;NA;1
239;male;2;NA;NA;NA;2
240;male;1;NA;NA;NA;1
241;female;2;NA;NA;NA;2
242;female;1;NA;NA;NA;1
243;male;2;NA;NA;NA;2
244;female;1;NA;NA;NA;1
245;male;1;NA;NA;NA;1
246;male;4;NA;NA;NA;4
247;female;2;NA;NA;NA;2
248;female;6;NA;NA;NA;6
249;female;4;NA;NA;NA;4
250;male;3;NA;NA;1;4
251;female;6;NA;NA;NA;6
252;female;7;NA;NA;NA;7
253;female;2;NA;NA;NA;2
254;female;87;NA;NA;NA;87
255;female;2;NA;NA;NA;2
256;male;1;NA;NA;NA;1
257;male;3;NA;NA;NA;3
258;male;1;NA;NA;NA;1
259;female;1;NA;NA;NA;1
260;male;2;NA;NA;NA;2
261;male;2;NA;NA;NA;2
262;female;1;NA;NA;NA;1
263;male;4;NA;NA;NA;4
264;female;2;NA;NA;NA;2
265;male;23;NA;NA;NA;23
266;male;2;NA;NA;NA;2
267;male;1;NA;NA;NA;1
268;male;1;NA;NA;NA;1
269;female;2;NA;NA;NA;2
270;female;18;NA;NA;NA;18
271;male;1;NA;NA;NA;1
272;female;2;NA;NA;NA;2
273;male;4;NA;NA;NA;4
274;male;14;NA;NA;NA;14
275;male;1;NA;NA;NA;1
276;female;2;NA;NA;NA;2
277;male;1;NA;NA;NA;1
278;male;2;NA;NA;NA;2
279;male;1;NA;NA;NA;1
280;male;1;NA;NA;NA;1
281;male;1;NA;NA;NA;1
282;female;2;NA;NA;NA;2
283;female;58;NA;NA;NA;58
284;male;38;NA;NA;NA;38
285;male;1;NA;NA;NA;1
286;male;1;NA;NA;NA;1
287;male;5;NA;NA;NA;5
288;male;4;NA;NA;NA;4
289;male;2;NA;NA;NA;2
290;male;1;NA;NA;NA;1
291;male;47;NA;NA;NA;47
292;male;1;NA;NA;NA;1
293;male;3;NA;NA;NA;3
294;female;2;NA;NA;NA;2
295;male;1;NA;NA;NA;1
296;male;2;NA;NA;NA;2
297;male;3;NA;NA;NA;3
298;female;41;NA;NA;NA;41
299;male;4;NA;NA;NA;4
300;male;28;NA;NA;NA;28
301;male;3;NA;NA;NA;3
302;male;14;NA;NA;NA;14
303;male;8;NA;NA;NA;8
304;female;17;NA;NA;NA;17
305;male;13;NA;NA;NA;13
306;female;1;NA;NA;NA;1
307;male;5;NA;NA;NA;5
308;female;5;NA;NA;NA;5
309;female;1;NA;NA;NA;1
310;male;2;NA;NA;NA;2
311;male;2;NA;NA;NA;2
312;male;1;NA;NA;NA;1
313;female;6;NA;NA;NA;6
314;male;1;NA;NA;NA;1
315;female;1;NA;NA;NA;1
316;male;2;NA;NA;NA;2
317;female;1;NA;NA;NA;1
318;male;2;NA;NA;NA;2
319;female;7;NA;NA;NA;7
320;female;2;NA;NA;NA;2
321;female;3;NA;NA;NA;3
322;male;310;NA;NA;NA;310
323;male;13;NA;NA;NA;13
324;male;10;NA;NA;NA;10
325;male;6;NA;NA;NA;6
326;male;18;NA;NA;NA;18
327;male;2;NA;NA;NA;2
328;male;19;28;NA;NA;47
329;female;437;NA;144;NA;581
330;male;122;NA;NA;NA;122
331;male;16;NA;NA;NA;16
