id_speaker;start_time;end_time;gender
2602;247.729;360.625;male
2603;361.22;393.886;female
2603;394.245;410.95;female
2603;411.359;437.538;female
2603;437.889;444.791;female
2602;445.295;466.867;male
2605;466.867;468.272;female
2602;468.272;470.103;male
2605;470.103;471.333;female
2602;471.333;511.553;male
2606;511.553;511.915;female
2602;511.915;538.902;male
2607;538.902;539.439;female
2602;539.439;557.213;male
2602;557.542;583.233;male
2607;583.233;583.37;female
2602;583.37;596.302;male
2602;596.538;617.893;male
2609;618.813;631.46;male
2604;631.46;631.968;NA
2609;631.968;651.921;male
2602;651.921;652.308;male
2602;652.61;673.869;male
2610;675.08;694.674;male
2610;695.034;697.551;male
2610;698.022;701.58;male
2610;702.073;704.528;male
2610;704.913;708.269;male
2610;708.675;713.024;male
2602;713.024;714.035;male
2610;714.848;715.62;male
2602;715.62;715.828;male
2610;715.828;720.157;male
2610;720.52;730.653;male
2602;730.653;731.354;male
2610;731.354;734.084;male
2602;734.084;761.861;male
2605;761.861;764.605;female
2602;764.605;766.338;male
2605;766.338;783.544;female
2605;783.975;801.828;female
2602;801.828;806.202;male
2605;806.202;815.845;female
2602;815.845;816.161;male
2607;816.161;838.004;female
2602;838.004;842.328;male
2602;842.862;854.599;male
2608;854.599;906.996;female
2602;906.996;913.482;male
2608;913.482;914.254;female
2602;914.254;915.263;male
2608;915.263;928.407;female
2602;928.407;929.927;male
2608;929.927;938.336;female
2602;938.336;940.854;male
2608;940.854;982.515;female
2602;982.515;1011.468;male
2604;1011.468;1012.11;NA
2602;1012.11;1012.771;male
2605;1012.771;1014.318;female
2602;1014.318;1016.49;male
2605;1016.49;1017.632;female
2602;1017.632;1017.92;male
2606;1017.92;1070.818;female
2607;1070.818;1097.725;female
2602;1097.725;1099.035;male
2607;1099.035;1101.466;female
2605;1101.466;1102.834;female
2602;1102.834;1104.532;male
2607;1104.532;1107.009;female
2605;1107.009;1108.731;female
2607;1109.172;1111.684;female
2606;1111.684;1116.519;female
2602;1116.519;1118.517;male
2605;1118.517;1132.922;female
2607;1132.922;1135.1;female
2605;1135.1;1138.037;female
2607;1138.037;1162.786;female
2605;1162.786;1169.713;female
2607;1169.713;1171.483;female
2605;1171.483;1174.782;female
2602;1174.782;1179.29;male
2605;1179.29;1183.511;female
2607;1183.511;1184.195;female
2605;1184.195;1185.058;female
2602;1185.058;1187.478;male
2608;1187.478;1190.425;female
2605;1190.425;1191.801;female
2608;1191.801;1192.742;female
2605;1192.742;1193.01;female
2608;1193.01;1219.313;female
2602;1219.313;1220.955;male
2608;1220.955;1233.09;female
2605;1233.09;1263.977;female
2602;1263.977;1289.118;male
2606;1289.118;1327.67;female
2602;1327.67;1329.84;male
2606;1329.84;1332.574;female
2608;1332.574;1341.095;female
2605;1341.095;1348.288;female
2608;1348.288;1355.389;female
2602;1355.389;1376.853;male
2611;1377.87;1388.452;female
2611;1388.799;1392.975;female
2611;1393.28;1396.497;female
2611;1397.481;1404.644;female
2612;1406.266;1407.875;female
2612;1409.308;1410.988;female
2612;1412.101;1421.542;female
2612;1422.097;1423.126;female
2612;1424.027;1426.904;female
2613;1426.904;1440.203;male
2613;1440.519;1456.467;male
2613;1456.923;1466.869;male
2611;1466.869;1478.568;female
2611;1479.168;1488.648;female
2614;1489.977;1496.747;female
2613;1497.102;1520.523;male
2614;1521.1;1521.963;female
2614;1523.593;1529.705;female
2613;1529.705;1552.268;male
2614;1553.795;1558.019;female
2614;1558.313;1561.56;female
2614;1562.145;1563.17;female
2613;1565.056;1568.017;male
2613;1568.459;1595.297;male
2613;1595.621;1601.131;male
2611;1601.131;1615.172;female
2611;1615.525;1624.786;female
2613;1625.11;1645.817;male
2602;1647.838;1671.519;male
2609;1672.6;1683.609;male
2609;1684.043;1729.451;male
2602;1729.451;1729.769;male
2609;1729.769;1734.088;male
2602;1734.088;1745.339;male
2602;1745.777;1746.238;male
2610;1746.238;1748.663;male
2610;1749.008;1784.767;male
2602;1784.767;1786.155;male
2610;1786.155;1791.565;male
2610;1792.005;1797.057;male
2610;1797.32;1798.732;male
2602;1798.732;1799.137;male
2610;1799.137;1805.914;male
2610;1806.232;1809.084;male
2602;1809.084;1810.771;male
2610;1810.771;1811.295;male
2602;1811.295;1828.157;male
2607;1828.157;1828.506;female
2602;1828.506;1829.752;male
2607;1829.752;1830.006;female
2602;1830.006;1853.902;male
2607;1853.902;1904.247;female
2602;1904.247;1904.41;male
2607;1904.41;1914.822;female
2602;1914.822;1946.757;male
2605;1946.757;1989.29;female
2602;1989.29;1991.476;male
2605;1991.476;2003.161;female
2602;2003.161;2004.552;male
2605;2004.552;2025.043;female
2602;2025.043;2035.291;male
2608;2035.291;2073.725;female
2606;2073.725;2074.003;female
2608;2074.003;2082.227;female
2602;2082.227;2083.289;male
2608;2083.289;2110.766;female
2606;2110.766;2124.19;female
2602;2124.19;2125.086;male
2606;2125.086;2125.882;female
2602;2125.882;2130.335;male
2606;2130.335;2157.044;female
2602;2157.044;2157.261;male
2606;2157.261;2168.834;female
2602;2168.834;2169.352;male
2605;2169.352;2177.426;female
2602;2177.426;2177.92;male
2605;2177.92;2186.81;female
2602;2186.81;2187.49;male
2605;2187.49;2201.75;female
2602;2201.75;2203.517;male
2605;2203.517;2207.139;female
2602;2207.139;2210.491;male
2605;2210.491;2224.351;female
2607;2224.351;2228.204;female
2605;2228.204;2234.059;female
2607;2234.059;2239.829;female
2602;2239.829;2240.881;male
2607;2240.881;2263.902;female
2602;2263.902;2264.654;male
2607;2264.654;2291.068;female
2602;2291.068;2299.814;male
2607;2299.814;2302.943;female
2607;2303.42;2363.939;female
2602;2363.939;2385.029;male
2604;2385.029;2385.614;NA
2602;2385.614;2396.743;male
2605;2396.743;2397.934;female
2602;2397.934;2399.981;male
2605;2399.981;2401.023;female
2602;2401.023;2401.369;male
2605;2401.369;2408.106;female
2602;2408.106;2416.335;male
2608;2416.335;2421.882;female
2602;2421.882;2422.088;male
2608;2422.088;2440.464;female
2602;2440.464;2443.585;male
2608;2443.941;2458.922;female
2602;2458.922;2462.381;male
2608;2462.381;2466.156;female
2602;2466.156;2471.653;male
2608;2471.653;2471.892;female
2602;2471.892;2478.959;male
2605;2478.959;2480.447;female
2602;2480.447;2481.211;male
2605;2481.211;2519.371;female
2605;2519.628;2532.336;female
2602;2532.336;2534.321;male
2605;2534.321;2540.68;female
2602;2540.68;2542.478;male
2607;2543.045;2555.839;female
2602;2555.839;2556.434;male
2607;2556.434;2563.64;female
2602;2563.64;2565.537;male
2607;2565.537;2588.075;female
2602;2588.075;2588.523;male
2607;2588.523;2602.692;female
2607;2603.048;2632.256;female
2602;2632.256;2633.865;male
2607;2633.865;2634.074;female
2608;2634.33;2634.875;female
2602;2634.875;2637.041;male
2608;2637.041;2649.623;female
2605;2649.623;2653.161;female
2608;2653.161;2658.677;female
2608;2659.135;2703.688;female
2602;2703.688;2708.35;male
2605;2708.35;2747.713;female
2608;2747.713;2751.511;female
2602;2751.511;2753.201;male
2605;2753.201;2769.666;female
2608;2769.666;2773.223;female
2602;2773.223;2782.043;male
2608;2782.043;2796.482;female
2602;2796.482;2820.574;male
2606;2820.574;2856.995;female
2602;2857.255;2868.954;male
2602;2868.954;2904.751;male
2602;2905.16;2930.72;male
2605;2930.72;2953.715;female
2602;2953.715;2954.962;male
2606;2954.962;2979.845;female
2602;2979.845;2983.024;male
2606;2983.024;2988.394;female
2602;2988.394;2990.414;male
2606;2990.414;3008.939;female
2606;3009.347;3010.22;female
2602;3010.22;3010.836;male
2606;3010.836;3019.554;female
2602;3019.899;3023.087;male
2607;3023.087;3028.169;female
2605;3028.169;3028.612;female
